quote,author,tags
books are a uniquely portable magic,stephen king,"['books', 'magic', 'reading']"
you have to write the book that wants to be written and if the book will be too difficult for grownups then you write it for children,madeleine lengle,"['books', 'children', 'difficult', 'grownups', 'write', 'writers', 'writing']"
im the one thats got to die when its time for me to die so let me live my life the way i want to,jimi hendrix,"['death', 'life']"
i can never read all the books i want i can never be all the people i want and live all the lives i want i can never train myself in all the skills i want and why do i want i want to live and feel all the shades tones and variations of mental and physical experience possible in my life and i am horribly limited,sylvia plath,"['books', 'life', 'limits']"
but better to get hurt by the truth than comforted with a lie,khaled hosseini,['life']
books are the ultimate dumpees put them down and theyll wait for you forever pay attention to them and they always love you back,john green,"['books', 'reading']"
we believe in ordinary acts of bravery in the courage that drives one person to stand up for another,veronica roth,"['inspirationalquotes', 'strengthandcourage']"
there is nothing better than a friend unless it is a friend with chocolate,linda grayson,"['chocolate', 'friendship']"
so its not gonna be easy its going to be really hard were gonna have to work at this everyday but i want to do that because i want you i want all of you forever everyday you and me everyday,nicholas sparks,"['love', 'marriage']"
the truth is rarely pure and never simple,oscar wilde,['truth']
there are infinite numbers between 0 and 1 theres 1 and 12 and 112 and an infinite collection of others of course there is a bigger infinite set of numbers between 0 and 2 or between 0 and a million some infinities are bigger than other infinities a writer we used to like taught us that there are days many of them when i resent the size of my unbounded set i want more numbers than im likely to get and god i want more numbers for augustus waters than he got but gus my love i cannot tell you how thankful i am for our little infinity i wouldnt trade it for the world you gave me a forever within the numbered days and im grateful,john green,['infinity']
a mind needs books as a sword needs a whetstone if it is to keep its edge,george rr martin,"['books', 'mind']"
the truth dumbledore sighed it is a beautiful and terrible thing and should therefore be treated with great caution,jk rowling,['truth']
i believe in christianity as i believe that the sun has risen not only because i see it but because by it i see everything else,cs lewis,"['christianity', 'faith', 'religion', 'sun']"
the fear of death follows from the fear of life a man who lives fully is prepared to die at any time,mark twain,"['death', 'life']"
remember if the time should come when you have to make a choice between what is right and what is easy remember what happened to a boy who was good and kind and brave because he strayed across the path of lord voldemort remember cedric diggory,jk rowling,['integrity']
memories warm you up from the inside but they also tear you apart,haruki murakami,['memories']
a lie can travel half way around the world while the truth is putting on its shoes,mark twain,"['misattributedmarktwain', 'truth']"
never tell the truth to people who are not worthy of it,mark twain,['truth']
be nice to nerds you may end up working for them we all could,charles j sykes,"['humor', 'misattributedtobillgates', 'nerd', 'nerds', 'work']"
just when you think it cant get any worse it can and just when you think it cant get any better it can,nicholas sparks,"['life', 'love']"
tis better to have loved and lostthan never to have loved at all,alfred lord tennyson,"['love', 'paraphraseofcongreve']"
knowing yourself is the beginning of all wisdom,aristotle,"['introspection', 'selfdiscovery', 'wisdom']"
its so hard to forget pain but its even harder to remember sweetness we have no scar to show for happiness we learn so little from peace,chuck palahniuk,"['happiness', 'pain', 'peace', 'scar', 'sweetness']"
i love you as certain dark things are to be loved in secret between the shadow and the soul,pablo neruda,"['love', 'poetry']"
